artist, genre, title, year
Air, Electronica, Moon Safari, 1998
Air, Electronica, Talkie Walkie, 2004
Air, Electronica, Le Voyage Dans La Lune, 2012
Kraftwerk, Electronica, Autobahn, 1974
Kraftwerk, Electronica, Radio-Activity, 1975
Kraftwerk, Electronica, Trans-Europe-Express, 1977
Daft Punk, Electronica, Homework, 1997
Daft Punk, Electronica, Discovery, 2001
Daft Punk, Electronica, Random Access Memories, 2013
Herbie Hancock, Jazz, Takin' Off, 1962
Herbie Hancock, Jazz, Maiden Voyage, 1965
Herbie Hancock, Jazz, Headhunters, 1973
Miles Davis, Jazz, Birth of the Cool, 1949
Miles Davis, Jazz, Kind of Blue, 1959
Miles Davis, Jazz, Bitches Brew, 1969
Pat Metheny, Jazz, Bright Size Life, 1976
Pat Metheny, Jazz, Pat Metheny Group, 1978
Pat Metheny, Jazz, First Circle, 1984
Sérgio Godinho, Portuguesa, Os Sobreviventes, 1971
Sérgio Godinho, Portuguesa, Pré-Histórias, 1972
Sérgio Godinho, Portuguesa, pano-cru, 1978
Clã, Portuguesa, Kazoo, 1997
Clã, Portuguesa, Lustro, 2000
Clã, Portuguesa, Rosa Carne, 2004
Fausto, Portuguesa, Por Este Rio Acima, 1984
Fausto, Portuguesa, A Preto e Branco, 1989
Fausto, Portuguesa, Grande, grande é a viagem, 1999
Led Zeppelin, Rock, Led Zeppelin, 1969_1
Led Zeppelin, Rock, Led Zeppelin II, 1969_2
Led Zeppelin, Rock, Led Zeppelin III, 1970
The Beatles, Rock, Please, Please Me, 1963
The Beatles, Rock, Sgt. Peppers and The Lonely Hearts Club Band, 1967
The Beatles, Rock, Abbey Road, 1969
The Beach Boys, Rock, Surfer Girl, 1963_1
The Beach Boys, Rock, Surfin' USA, 1963_2
The Beach Boys, Rock, Pet Sounds, 1966
Ray Charles, Soul, Ray Charles, 1957
Ray Charles, Soul, The Genius of Ray Charles, 1959_1
Ray Charles, Soul, What'd I Say, 1959_2
Al Green, Soul, Let's Stay Together, 1972_1
Al Green, Soul, I'm Still In Love With You, 1972_2
Al Green, Soul, Call Me, 1973
Otis Reding, Soul, Otis Blue, 1965
Otis Reding, Soul, The Soul Album, 1966
Otis Reding, Soul, The Dock of The Bay, 1968
